key;english;;;;;;;;;;;;;
EVTDESC324345335;\n\nWith_the_Oyo_being_weakened,_we_could_launch_a_Jihad_against_them_with_Ilorin.;;;;;;;;;;;;;
EVTDESC324345336;\n\nIlorin_has_declared_a_Jihad_against_us!;;;;;;;;;;;;;
EVTDESC324345337;\n\nGobir_has_betrayed_our_Treaty_of_1829_and_rebelled_against_our_rule._We_should_intervene!;;;;;;;;;;;;;
EVTDESC324345339;\n\nWe_have_pacified_the_Pagan_lands_of_Kebbi_and_formed_an_Emirate_in_its_place.;;;;;;;;;;;;;
EVTDESC18482431;\n\nWith_the_occupation_of_Hamdallahi_by_the_Tuareg_Kel,_we_can_now_join_to_annex_Massina_jointly!;;;;;;;;;;;;;
EVTDESC16061949;\n\nWith_our_phyrric_war_against_the_Qasimis_ending_unanswered,_a_faction_of_the_Bani_Yas_has_grown_dissatisfied_and_moved_to_Dubai,_where_they_founded_a_new,_independent_Emirate.;;;;;;;;;;;;;
EVTDESC45657683;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC456576841;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC456576842;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC456576843;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC806;\n\nThe_garrison_at_the_formidable_Fortress_of_Luxemburg_has_mutinied_and_joined_Belgium.;;;;;;;;;;;;;
EVTDESC16051876;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC16051877;\n\nCleanup_to_give_the_events.;;;;;;;;;;;;;
EVTDESC20041209;\n\nTo_balance_the_technologies_of_the_countries,_we_halve_the_research_points_at_the_start.;;;;;;;;;;;;;
EVTDESC20041213;\n\nGran_Colombia_has_proposed_a_compromise_to_settle_our_dispute_in_the_Amazon._Foreign_ministers_Tomas_de_Mosquera_and_Carlos_Pedemonte_have_cooperated_to_come_up_with_an_equitable_settlement.;;;;;;;;;;;;;
EVTDESC20041212;\n\nThe_Peruvian_government_has_signed_our_proposed_treaty,_fairly_settling_our_dispute_forevermore.;;;;;;;;;;;;;
EVTDESC20041211;\n\nThe_Peruvian_government_has_snubbed_our_attempt_to_fairly_settle_our_dispute._The_only_remaining_solution_is_on_the_field_of_battle.;;;;;;;;;;;;;
EVTDESC20041210;\n\nEcuador_has_proposed_a_compromise_to_settle_our_dispute_in_the_Amazon._Foreign_ministers_Diego_Noboa_and_Jose_Pando_have_cooperated_to_come_up_with_an_equitable_settlement.;;;;;;;;;;;;;
EVTDESC127859;\n\nHaiti_supports_Jamaica!;;;;;;;;;;;;;
EVTDESC127961;\n\nAfter_fighting_the_Jamaican_slaves,_we_finally_have_won_the_war.;;;;;;;;;;;;;
EVTDESC183518367;\n\nBoers_have_gained_effective_control_over_Botshabelo.;;;;;;;;;;;;;
EVTDESC183518362;\n\nBoers_have_gained_effective_control_over_Botshabelo.;;;;;;;;;;;;;
EVTDESC368793964;\n\nThe_British,_in_spite_of_our_recent_revolt,_have_recognized_our_independence.;;;;;;;;;;;;;
EVTDESC260519062;\n\nyay!_<3;;;;;;;;;;;;;
EVTDESC54543342;\n\nFollowing_the_fall_of_Algiers_and_the_ensuing_power_vaccuum,_the_inhabitants_of_Tilimsan_have_requested_protection_from_Morocco,_leading_to_the_sultanate's_forces_taking_the_city.;;;;;;;;;;;;;
