PAG_conservative;Adats;;;;;;;;;;;;;
PAG_reactionary;Padris;;;;;;;;;;;;;
DIM_flores_offer_title;The Portuguese East Indies;;;;;;;;;;;;;
DIM_flores_offer_desc;The Portuguese still hold sway over a small part of the East Indies: Timor and Flores. Many wars were fought over these territories, and Lisbon's presence there remains a thorn in our side. While these territories had previously been important outposts of Lisbon, by now very impoverished backwaters with little connection with to the motherland. We could approach the Portuguese to see if they are willing to sell their possessions?;;;;;;;;;;;;;
EVTNAME95252;Tensions in Malacca;;;;;;;;;;;;;
EVTDESC95252;Our_mutual_colonial_ambitions_in_the_East_Indies_are_bringing_us_into_increasing_conflict_with_the_Dutch._Tensions_are_particularly_high_surrounding_the_Straits_of_Malacca,_a_key_channel_for_mercantile_navigation_in_the_East._Something_must_be_done_to_resolve_the_growing_conflict_between_our_merchants.\n\nOur_diplomats_recommend_defining_clear_"spheres_of_influence"_in_the_region_and_exchanging_territories:_we_would_control_trade_and_colonies_in_the_Malay_Peninsula_to_the_north,_while_the_Dutch_would_control_Sumatra_and_the_islands_south_of_the_Straits._Alternatively,_if_we_don't_mind_throwing_our_weight_around_a_bit,_we_could_press_the_Dutch_to_unilaterally_withdraw_from_the_north_side_of_the_Strait,_though_it_would_damage_our_relations_and_they_might_refuse._What_should_our_course_be?;;;;;;;;;;;;;
EVTNAME95253;Malacca Exchange Proposed;;;;;;;;;;;;;
EVTDESC95253;Our_mutual_colonial_ambitions_in_the_East_Indies_are_bringing_us_into_increasing_conflict_with_the_British._Tensions_are_particularly_high_surrounding_the_Straits_of_Malacca,_a_key_channel_for_mercantile_navigation_in_the_East._Something_must_be_done_to_resolve_the_growing_conflict_between_our_merchants.\n\nNow_the_British_propose_to_define_clear_"spheres_of_influence"_in_the_region_and_exchange_territories:_they_would_control_trade_and_colonies_in_the_Malay_Peninsula_to_the_north,_while_we_would_control_Sumatra_and_the_islands_south_of_the_Straits._Should_we_accept_their_proposal?;;;;;;;;;;;;;
EVTNAME211202;The Sultanate of Palembang;;;;;;;;;;;;;
EVTDESC211202;Relations_with_Palembang_have_always_been_troublesome,_and_things_have_not_gotten_better_since_the_English_left_the_region._During_their_brief_tenure_over_the_East_Indies_[1811-1814]_they_had_the_opportunity_to_install_a_new_sultan,_one_which_has_proven_less_than_friendly_to_our_interest,_but_very_much_so_to_theirs._However,_his_rule_was_not_meant_to_last:_Through_'interventions'_we've_managed_to_install_a_sultan_more_favorable_to_our_interests,_but_his_authority_outside_of_the_city_of_Palembang_is_limited._Brigands_and_robbers_roam_the_countryside,_and_the_local_Heads_appear_unable_or_unwilling_to_control_them._Our_commissionaire_in_the_sultanate_has_expressed_his_desire_to_take_a_more_direct_role_in_ruling_the_state,_and_has_asked_us_to_enter_into_a_new_contract_with_the_sultan.;;;;;;;;;;;;;
EVTNAME211203;Unrest in Palembang;;;;;;;;;;;;;
EVTDESC211203;The_recent_treaty_with_the_sultanate_of_Palembang_installed_a_sultan_more_amiable_to_our_wishes,_and_was_intended_to_provide_a_solid_basis_for_stable_relations._But_alas_our_hopes_were_in_vain:_the_sultan_has_proven_too_weak_and_extremely_unreliable._Due_taxes_are_no_longer_being_paid,_and_it_would_seem_he_is_behind_the_recent_assassination_of_our_commissionaire_to_the_sultanate.\n\nBut_all_this_is_all_rather_irrelevant:_Our_post_in_Palembang_is_under_siege_by_inlanders,_and_it_would_appear_the_sultan_is_behind_this!_To_restore_order,_and_maintain_our_authority,_something_has_to_be_done!;;;;;;;;;;;;;
EVTNAME211204;Dutch Military Expedition;;;;;;;;;;;;;
